customer_id,sex_at_birth,occupation,employment_type,education,completed_years_of_education,marital_status,relationship_in_household,race,country,type_of_client,quantity,total_spending,total_invoice
442855,F,Other-service,Private,HS-grad,9,Divorced,Unmarried,White,America,NULL,144,79.20,1
587848,M,?,?,Doctorate,16,Married-civ-spouse,Husband,White,America,NULL,208,521.11,54
1787912,M,Farming-fishing,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,America,Wholesaler,55,172.89,14
5740114,M,Craft-repair,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,America,NULL,48,188.15,11
5957969,M,Other-service,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,20,56.15,9
7362956,M,Farming-fishing,State-gov,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,15,41.57,6
7675160,F,Prof-specialty,Local-gov,Bachelors,13,Never-married,Not-in-family,White,America,Wholesaler,53,99.95,5
8454297,M,Prof-specialty,Local-gov,Masters,14,Married-civ-spouse,Husband,White,America,NULL,174,512.99,28
8840517,M,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,36,267.78,8
9854163,F,Prof-specialty,Private,Bachelors,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Rest_world,Wholesaler,2375,5067.14,36
11815924,F,Machine-op-inspct,Private,11th,7,Never-married,Unmarried,White,America,NULL,105,250.38,14
12285299,F,Prof-specialty,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,5,8.20,2
13978587,M,Machine-op-inspct,Private,HS-grad,9,Divorced,Not-in-family,White,America,NULL,21,46.68,5
14336787,M,Sales,Private,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,185,591.97,25
15462071,M,Machine-op-inspct,Private,Some-college,10,Married-civ-spouse,Husband,Black,America,NULL,46,163.94,9
17218184,M,Adm-clerical,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,219,531.84,20
21579729,F,Sales,Private,HS-grad,9,Divorced,Unmarried,Black,America,NULL,70,280.36,19
22489884,M,Craft-repair,Private,7th-8th,4,Married-civ-spouse,Husband,White,America,NULL,248,389.44,20
24912767,F,Adm-clerical,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Wife,White,America,NULL,1028,1717.28,135
25141515,M,Craft-repair,Private,11th,7,Married-civ-spouse,Husband,White,America,NULL,257,548.29,65
25579389,F,Exec-managerial,Local-gov,Some-college,10,Divorced,Unmarried,White,America,NULL,71,221.58,22
27890596,F,Other-service,Private,HS-grad,9,Never-married,Other-relative,White,America,NULL,97,201.36,30
28491770,M,Craft-repair,Private,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,20,143.70,8
28647393,M,Other-service,Private,10th,6,Never-married,Own-child,White,America,NULL,3518,10656.35,23
30704042,M,Transport-moving,Local-gov,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,311,260.83,36
31013817,M,Machine-op-inspct,Private,Some-college,10,Divorced,Unmarried,Amer-Indian-Eskimo,America,NULL,67,225.55,31
32975590,M,Sales,Private,Some-college,10,Never-married,Not-in-family,White,America,NULL,283,504.88,93
34118196,M,Prof-specialty,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Husband,White,America,Wholesaler,634,1903.68,65
34233592,M,Prof-specialty,Self-emp-inc,Bachelors,13,Never-married,Not-in-family,White,America,Wholesaler,1403,4320.27,103
34571465,F,?,?,HS-grad,9,Widowed,Not-in-family,White,America,NULL,2639,4412.95,29
37144581,F,Sales,Private,Bachelors,13,Never-married,Own-child,White,America,NULL,639,682.61,47
38016661,M,Handlers-cleaners,Private,5th-6th,3,Never-married,Not-in-family,White,America,NULL,59,224.55,22
38061208,F,Exec-managerial,Private,Some-college,10,Widowed,Unmarried,White,America,Wholesaler,527,988.78,54
38229928,M,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,Wholesaler,69,160.22,36
38866760,F,Adm-clerical,Private,HS-grad,9,Divorced,Unmarried,Black,America,NULL,161,695.01,54
39065560,M,Craft-repair,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,Personal,11,71.01,4
39478824,M,Exec-managerial,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,America,Wholesaler,1942,1557.12,23
41235008,M,Transport-moving,Private,HS-grad,9,Never-married,Other-relative,Black,America,NULL,23,108.35,7
43188762,M,Prof-specialty,Private,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,324,724.48,42
43454381,M,Other-service,Private,9th,5,Never-married,Own-child,White,America,NULL,37,138.77,13
44987617,F,Adm-clerical,Private,HS-grad,9,Never-married,Own-child,White,America,NULL,29,109.52,16
45152754,M,?,?,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,1099,624.39,6
46283118,M,Craft-repair,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,45,203.35,17
47816415,M,Tech-support,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,America,Wholesaler,284,134.77,12
50262518,F,Other-service,Private,Some-college,10,Never-married,Not-in-family,White,America,NULL,83,181.84,28
54256217,F,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Wife,White,America,NULL,5276,11772.66,42
54800677,F,Machine-op-inspct,Private,Bachelors,13,Divorced,Unmarried,Other,Rest_world,NULL,170,422.17,28
55772857,M,Farming-fishing,Self-emp-not-inc,HS-grad,9,Divorced,Not-in-family,White,America,Personal,136,456.32,25
57865404,F,?,?,Some-college,10,Married-civ-spouse,Wife,Black,America,NULL,534,1463.55,10
58321084,M,Sales,Private,Some-college,10,Never-married,Own-child,White,America,NULL,821,1340.65,59
59011417,M,Exec-managerial,Local-gov,Bachelors,13,Married-civ-spouse,Husband,White,America,Personal,12,13.30,3
60498466,M,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,Wholesaler,178,729.31,16
60702094,F,Prof-specialty,Private,Doctorate,16,Married-spouse-absent,Unmarried,Amer-Indian-Eskimo,America,NULL,117,214.75,21
61046912,M,Exec-managerial,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,407,646.14,42
61594561,M,Adm-clerical,Private,HS-grad,9,Never-married,Not-in-family,White,America,NULL,122,322.44,37
61776740,M,Transport-moving,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,America,NULL,301,897.09,21
64169987,M,Craft-repair,Private,Some-college,10,Never-married,Own-child,Amer-Indian-Eskimo,America,NULL,128,479.98,29
64182124,M,Handlers-cleaners,Private,HS-grad,9,Never-married,Own-child,White,America,Personal,65,152.80,26
66379993,M,Adm-clerical,Private,Masters,14,Never-married,Not-in-family,White,America,NULL,28,354.30,7
67295688,M,Adm-clerical,Private,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,57,412.33,14
68002302,M,Handlers-cleaners,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,92,211.09,58
70009898,F,Prof-specialty,Private,Some-college,10,Never-married,Own-child,White,America,Wholesaler,160,341.52,52
70277078,M,Tech-support,Private,Bachelors,13,Divorced,Not-in-family,White,America,NULL,80,190.06,29
74441091,F,?,?,HS-grad,9,Never-married,Own-child,White,America,Wholesaler,195,333.03,42
74634328,M,Other-service,Private,11th,7,Never-married,Not-in-family,White,America,NULL,561,1085.46,85
74925936,F,Other-service,Private,10th,6,Never-married,Not-in-family,White,America,Wholesaler,274,386.12,23
77044249,F,?,?,Bachelors,13,Married-civ-spouse,Wife,White,America,NULL,116,510.12,34
78196865,M,Sales,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,62,145.93,45
79401403,M,Machine-op-inspct,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,Personal,13,13.47,7
80805783,M,Handlers-cleaners,Private,Some-college,10,Never-married,Own-child,Black,America,Wholesaler,212,359.66,71
83558458,F,Handlers-cleaners,Private,HS-grad,9,Divorced,Not-in-family,White,America,Personal,43,92.60,9
85277664,M,Exec-managerial,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,America,NULL,64,198.76,20
86717852,M,Sales,Self-emp-inc,9th,5,Divorced,Not-in-family,White,America,NULL,124,225.26,22
86724972,M,Farming-fishing,Private,12th,8,Married-civ-spouse,Husband,Other,America,NULL,204,486.43,22
87360081,F,Prof-specialty,Self-emp-inc,Bachelors,13,Never-married,Not-in-family,White,America,NULL,179,501.86,51
87361141,M,Other-service,Private,HS-grad,9,Married-civ-spouse,Husband,White,America,Wholesaler,1376,3112.42,47
87453572,M,Other-service,Private,Some-college,10,Married-civ-spouse,Husband,White,America,Wholesaler,653,1610.95,36
88929394,M,Craft-repair,Private,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,24,91.91,10
89248999,F,Adm-clerical,Private,HS-grad,9,Divorced,Not-in-family,Other,America,Wholesaler,106,328.20,11
93749854,M,?,?,Some-college,10,Never-married,Own-child,White,America,Wholesaler,676,1619.18,20
94575994,M,Prof-specialty,Self-emp-inc,Masters,14,Married-civ-spouse,Husband,White,America,NULL,121,416.89,14
94595457,F,Adm-clerical,Private,Some-college,10,Divorced,Unmarried,White,America,Wholesaler,431,1359.31,25
95064999,M,Adm-clerical,Private,HS-grad,9,Never-married,Own-child,White,America,NULL,429,1060.92,34
95844713,M,Protective-serv,Local-gov,Some-college,10,Married-civ-spouse,Husband,White,America,NULL,76,211.40,13
96140019,M,Adm-clerical,Private,Bachelors,13,Never-married,Own-child,White,America,NULL,25120,35263.92,22
98478394,M,Other-service,Private,HS-grad,9,Never-married,Own-child,White,America,NULL,88,168.86,22
98610562,M,Prof-specialty,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,America,Wholesaler,66,185.38,21
99122387,M,Protective-serv,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Husband,White,America,NULL,166,596.46,23
99381649,F,Exec-managerial,Private,HS-grad,9,Never-married,Own-child,White,America,NULL,61,116.17,31
101195561,M,Machine-op-inspct,Private,HS-grad,9,Divorced,Not-in-family,White,America,NULL,38,26.97,34
101638745,M,Prof-specialty,State-gov,Bachelors,13,Married-civ-spouse,Husband,White,America,NULL,34,161.38,14
101751870,F,Handlers-cleaners,Local-gov,Preschool,1,Never-married,Own-child,White,America,NULL,89,139.60,32
